TYPE,SCHOOL,PHONE,ADDRESS
Elementary,PERALTA ELEMENTARY,(510) 879-1450,"460 63rd STREET
Oakland, CA
(37.84898636802296, -122.25877140994345)"
Charter,OAKLAND SCHOOL FOR THE ARTS (6-12),(510) 873-8800,"1800 San Pablo Ave
Oakland, CA
(37.80790968420294, -122.27230105722329)"
Charter,CIVICORP CORPSMEMBERS ACADEMY,(510) 992-7800,"1021 Third Street
Oakland, CA
(37.80039301024288, -122.28647172665067)"
Elementary,COMMUNITY UNITED ELEMENTARY SCHOOL,(510) 879-1340,"6701 International Blvd.
Oakland, CA
(37.76143736847064, -122.19183487130266)"
Middle,ALLIANCE ACADEMY,(510) 879-2733,"1800 98th Ave
Oakland, CA
(37.74664352108863, -122.165601647708)"
Elementary,FUTURES ELEMENTARY, ,"6701 International Blvd
Oakland, CA
(37.76143736847064, -122.19183487130266)"
Elementary,PREPARATORY LITERARY ACADEMY OF CULTURAL EXCELLENCE (PLACE) @ PRESCOTT,(510) 879-1470,"920 Campbell St
Oakland, CA
(37.8083288259261, -122.29805520543341)"
Middle,BRET HARTE MIDDLE SCHOOL,(510) 879-2060,"3700 Coolidge Ave
Oakland, CA
(37.79988977605109, -122.20725881138522)"
High,BUSINESS & INFORMATION TECHNOLOGY HIGH SCHOOL,(510) 879-3010x443,"8601 MacArthur Blvd
Oakland, CA
(37.75863148373918, -122.16249898670691)"
Charter,AMERICAN INDIAN PUBLIC CHARTER SCHOOL (5-8),(510) 482-6000,"3637 Magee Ave
Oakland, CA
(37.79341086321553, -122.19952354380206)"
Elementary,FRED T. KOREMATSU DISCOVERY ACADEMY,(510) 879-2795,"10315 E St.
Oakland, CA
(37.73751689383553, -122.17356959719105)"
Charter,BERKLEY MAYNARD ACADEMY (K-5),(510) 658-2900,"6200 San Pablo Ave
Oakland, CA
(37.84525369999954, -122.28431621282532)"
Middle,UNITED FOR SUCCESS ACADEMY,(510) 879-1494,"2101 35th Ave
Oakland, CA
(37.78428240413182, -122.21675221996806)"
Charter,REEMS (E.C.) ACADEMY OF TECHNOLOGY & ART (K-8),(510) 729-6635,"8425 MacArthur Blvd
Oakland, CA
(37.760969721015385, -122.16345226805794)"
Elementary,LOCKWOOD ELEMENTARY,(510) 879-1340,"6701 International Blvd
Oakland, CA
(37.76143736847064, -122.19183487130266)"
Charter,LIGHTHOUSE COMMUNITY CHARTER SCHOOL (K-4 & 6-8),(510) 271-8801,"345 12th St. at Webster
Oakland, CA
(37.801898573712236, -122.2695534392652)"
Charter,YOUTH EMPLOYMENT PARTNERSHIP,(510) 533-3447,"2300 International Blvd
Oakland, CA
(37.78324592768115, -122.2355958812484)"
Middle,JAMES MADISON MIDDLE SCHOOL,(510) 879-2150,"400 Capistrano Dr
Oakland, CA
(37.72768656479315, -122.17918963226687)"
High,FAR WEST,(510) 879-1580,"5263 Broadway Terrace
Oakland, CA
(37.83715129011739, -122.24938248795758)"
Elementary,MARKHAM ELEMENTARY,(510) 879-1380,"7220 Krause Ave
Oakland, CA
(37.765331432857465, -122.17886664764018)"
High,SKYLINE HIGH SCHOOL,(510) 879-3060,"12250 Skyline Blvd
Oakland, CA
(37.7981746733675, -122.16436957652786)"
High,COLLEGE PREP & ARCHITECTURE ACADEMY,(510) 879-1131,"4610 Foothill Blvd
Oakland, CA
(37.77366814806908, -122.20956950172047)"
Elementary,HILLCREST ELEMENTARY,(510) 879-1270,"30 Marguerite Dr
Oakland, CA
(37.84043030677718, -122.23285492597985)"
Charter,EAST OAKLAND LEADERSHIP ACADEMY HIGH (EOLAH),(510) 562-5238,"5856 Foothill Blvd
Oakland, CA
(37.77173573158705, -122.19111811037055)"
Elementary,LAUREL ELEMENTARY,(510) 879-1310,"3750 Brown Ave
Oakland, CA
(37.79310249712228, -122.19647537297385)"
High,EXCEL AT MCCLYMONDS,(510) 879-8490,"2607 Myrtle St
Oakland, CA
(37.81785972884312, -122.27863444234512)"
Middle,FRICK MIDDLE SCHOOL,(510) 879-2030,"2845 64th Ave
Oakland, CA
(37.771018924624364, -122.18423536186756)"
Elementary,M L KING JR ELEMENTARY,(510) 879-1820,"960 10th St
Oakland, CA
(37.805693005532476, -122.2830171318534)"
Elementary,GARFIELD ELEMENTARY,(510) 879-1180,"1640 22nd Ave
Oakland, CA
(37.7867064361878, -122.23577914122274)"
Elementary,GREENLEAF ELEMENTARY, ,"6328 East 17th Street
Oakland, CA
(37.76434191877357, -122.19483493470759)"
Charter,LPS COLLEGE PARK (9-10),(510) 633-0750,"8601 MacArthur Blvd.
Oakland, CA
(37.75863148373918, -122.16249898670691)"
High,OAKLAND INTERNATIONAL HIGH SCHOOL, ,"4521 Webster St
Oakland, CA
(37.833409875283486, -122.26014321085482)"
Charter,OAKLAND AVIATION HIGH SCHOOL (9),(510) 633-6375,"7850 Earhart Road (Oakland Airport
Oakland, CA
(37.734512403681286, -122.21475451161429)"
High,CASTLEMONT COMMUNITY OF SMALL SCHOOLS,(510) 879-3010,"8601 MacArthur Boulevard
Oakland, CA
(37.75863148373918, -122.16249898670691)"
High,BUNCHE ACADEMY,(510) 879-1730,"1240 18th St
Oakland, CA
(37.813003268562255, -122.28689106741017)"
Elementary,FRANKLIN ELEMENTARY,(510) 879-1160,"915 Foothill Blvd
Oakland, CA
(37.79375900220367, -122.24827632186151)"
Elementary,MANZANITA SEED,(510) 879-1373,"2409 E. 27th St
Oakland, CA
(37.792392032719135, -122.22428241011983)"
Charter,ENVISION ACADEMY OF ARTS & TECH (COUNTY APPROVED)(9),(510) 596-8901,"967 Stanford Ave
Oakland, CA
(37.84294292398607, -122.27793596238786)"
Elementary,SANTA FE ELEMENTARY,(510) 879-1500,"915 54th St
Oakland, CA
(37.83819854274224, -122.27443103410931)"
Elementary,GRASS VALLEY ELEMENTARY,(510) 879-1220,"4720 Dunkirk Ave
Oakland, CA
(37.75301537675681, -122.12588770508707)"
High,MANDELA HIGH SCHOOL,(510) 879-1141,"4610 Foothill Blvd
Oakland, CA
(37.77366814806908, -122.20956950172047)"
Middle,Explore College Preparatory Middle,(510) 879-1040,"3550 64th Avenue
Oakland, CA
(37.775661904788706, -122.17756103852804)"
Elementary,THINK COLLEGE NOW,(510) 879-1490,"2825 International Blvd
Oakland, CA
(37.77981951074952, -122.23001109144644)"
Elementary,GLENVIEW ELEMENTARY,(510) 879-1190,"4215 La Cresta Ave
Oakland, CA
(37.80528831061929, -122.21885050506285)"
High,COLISEUM COLLEGE PREP ACADEMY,(510) 879-2456,"1390 66th Ave
Oakland, CA
(37.76201573422819, -122.19328855344361)"
Middle,WEST OAKLAND MIDDLE SCHOOL, ,"991 14TH Street
Oakland, CA
(37.808779549965635, -122.28277441862707)"
Middle,PERALTA CREEK MIDDLE SCHOOL,(510) 879-8465,"2101 35th Ave
Oakland, CA
(37.78428240413182, -122.21675221996806)"
Elementary,ASCEND ELEMENTARY,(510) 879-3140,"3709 E 12th St
Oakland, CA
(37.77400650192888, -122.22163982258502)"
Charter,MILLSMONT ACADEMY SECONDARY,(510) 562-8030,"8030 Atherton Street
Oakland, CA
(37.7615042794985, -122.17101159916425)"
Elementary,GLOBAL FAMILY SCHOOL, ,"2035 40th Ave.
Oakland, CA
(37.779321147555244, -122.21320399704418)"
Elementary,LAFAYETTE ELEMENTARY,(510) 879-1290,"1700 Market St
Oakland, CA
(37.810358838315814, -122.27995640467509)"
Elementary,PARKER ELEMENTARY,(510) 879-1440,"7929 Ney Ave
Oakland, CA
(37.76558456751735, -122.1655613524035)"
Elementary,SEQUOIA ELEMENTARY,(510) 879-1510,"3730 Lincoln Ave
Oakland, CA
(37.80231441897627, -122.2114387299572)"
Charter,"OAKLAND MILITARY INSTITUTE, COLLEGE PREP. ACADEMY (6-12)",(510) 267-3900,"2405 W.14th St. (Oakland Army Base
Oakland, CA
(37.80505999961946, -122.27301999967312)"
Charter,CALIFORNIA COLLEGE PREPARATORY ACADEMY,(510) 658-2900,"6200 San Pablo Avenue
Oakland, CA
(37.84525369999954, -122.28431621282532)"
Middle,ROOSEVELT MIDDLE SCHOOL,(510) 879-2120,"1926 19th Ave
Oakland, CA
(37.78963245437787, -122.23791521448982)"
Charter,WILSON (LIONEL) COLLEGE PREPARATORY ACADEMY (9-12),(510) 635-7737,"400 105th Ave
Oakland, CA
(37.72938554429825, -122.18047901477753)"
Elementary,LEARNING WITHOUT LIMITS, ,"2035 40th Ave
Oakland, CA
(37.779321147555244, -122.21320399704418)"
Middle,URBAN PROMISE ACADEMY,(510) 879-1640,"3031 E. 18th Street
Oakland, CA
(37.782148277392565, -122.22430129186161)"
Elementary,BRIDGES ACADEMY AT MELROSE,(510) 879-1410,"1325 53rd Ave
Oakland, CA
(37.76738440519963, -122.20696158131139)"
Elementary,PIEDMONT AVENUE ELEMENTARY,(510) 879-1460,"4314 Piedmont Ave
Oakland, CA
(37.829048222959614, -122.24881103146888)"
High,RUDSDALE CONTINUATION,879-4237,"1180 70th Avenue
Oakland, CA
(37.75931838711962, -122.19092092781875)"
Elementary,REDWOOD HEIGHTS ELEMENTARY,(510) 879-1480,"4401 39th Ave
Oakland, CA
(37.796861280907365, -122.18659070954405)"
Elementary,CLEVELAND ELEMENTARY,(510) 879-1080,"745 Cleveland St
Oakland, CA
(37.804343951654744, -122.24396785963445)"
High,OAKLAND HIGH SCHOOL,(510) 879-3040,"1023 MacArthur Blvd
Oakland, CA
(37.805321569296424, -122.23663144445563)"
Elementary,LAKEVIEW ELEMENTARY,(510) 879-1300,"746 Grand Ave
Oakland, CA
(37.81090664111307, -122.24817485622913)"
Charter,OAKLAND UNITY HIGH SCHOOL (9-12),(510) 635-7170,"6038 Brann St.
Oakland, CA
(37.77333539891828, -122.18513492218437)"
Elementary,WHITTIER ELEMENTARY,(510) 879-1630,"6328 E 17th St
Oakland, CA
(37.76434191877357, -122.19483493470759)"
High,EAST OAKLAND SCHOOL OF THE ARTS,(510) 879-3010x498,"8601 MacArthur Blvd
Oakland, CA
(37.75863148373918, -122.16249898670691)"
Middle,WESTLAKE MIDDLE SCHOOL,(510) 879-2130,"2629 Harrison St
Oakland, CA
(37.81384985633821, -122.2606419997644)"
Charter,EAST OAKLAND LEADERSHIP ACADEMY (5-8),(510) 562-5238,"2614 Seminary Ave
Oakland, CA
(37.771905476891675, -122.18982038995705)"
Elementary,KAISER ELEMENTARY,(510) 549-4900,"25 S Hill Ct
Oakland, CA
(37.853444408394445, -122.23202596690969)"
Elementary,INTERNATIONAL COMM. ELEMENTARY,(510) 879-4286,"2825 International Blvd
Oakland, CA
(37.77981951074952, -122.23001109144644)"
Charter,HUERTA (DOLORES) LEARNING ACADEMY (K-8),(510) 533-9790,"1936 Courtland Ave
Oakland, CA
(37.77570270039951, -122.21221535704724)"
Elementary,SOBRANTE PARK ELEMENTARY,(510) 879-1540,"470 El Paseo Dr
Oakland, CA
(37.728324331351814, -122.17741873917299)"
Elementary,BURCKHALTER ELEMENTARY,(510) 879-1050,"3994 Burckhalter Ave
Oakland, CA
(37.775567677430715, -122.16681388098431)"
Middle,ALTERNATIVE LEARNING COMMUNITY, ,"9736 Lawlor Street
Oakland, CA
(37.75157108624378, -122.15740012798454)"
Elementary,CHABOT ELEMENTARY,(510) 879-1060,"6686 Chabot Rd
Oakland, CA
(37.85052420869306, -122.24316817273512)"
Middle,ROOTS INTERNATIONAL ACADEMY,(510) 879-2625,"1390 66th Ave
Oakland, CA
(37.76201573422819, -122.19328855344361)"
Elementary,HORACE MANN ELEMENTARY,(510) 879-1360,"5222 Ygnacio Ave
Oakland, CA
(37.77354310644381, -122.2024441732952)"
Charter,WORLD ACADEMY (EFC-EOCC),(510) 904-6400,"1700 28th Ave
Oakland, CA
(37.78247251073594, -122.22733111179912)"
Elementary,NEW HIGHLAND ACADEMY,(510) 879-1260,"8521 A St
Oakland, CA
(37.75209341258619, -122.17869577645456)"
Elementary,BROOKFIELD VILLAGE ELEMENTARY,(510) 879-1030,"401 Jones Ave
Oakland, CA
(37.73471052819015, -122.18898630297923)"
Charter,EDUCATION FOR CHANGE AT COX ELEMENTARY (K-5),(510) 904-6300,"9860 Sunnyside St
Oakland, CA
(37.74654093736402, -122.16182411545786)"
Elementary,CARL MUNCK ELEMENTARY,(510) 879-1680,"11900 Campus Dr
Oakland, CA
(37.79454141236914, -122.1741811798675)"
Middle,COLE MIDDLE SCHOOL,(510) 879-1091,"1011 Union St
Oakland, CA
(37.80724162609006, -122.28937708587051)"
Charter,EAST BAY CONSERVATION CORPS (9-12/ADULTS),(510) 992-7855,"1021 Third St.
Oakland, CA
(37.80039301024288, -122.28647172665067)"
